--- Informe materiales 6 ---

Material(ID: 25 | Nombre: ADIOS | Descripción: descripcion | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: EN_REPARACION | ID Ubicación: 11)
Material(ID: 21 | Nombre: Cable ethernet | Descripción: Cable ethernet de 1 metro | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 301603)
Material(ID: 24 | Nombre: Hola | Descripción: adios | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
Material(ID: 27 | Nombre: Hola | Descripción: g | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
Material(ID: 4 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: PRESTADO | ID Ubicación: 2003)
Material(ID: 5 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: EN_REPARACION | ID Ubicación: 2003)
Material(ID: 6 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: PRESTADO | ID Ubicación: 2003)
Material(ID: 7 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: EN_REPARACION | ID Ubicación: 2003)
Material(ID: 8 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: RETIRADO | ID Ubicación: 2003)
Material(ID: 9 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2003)
Material(ID: 10 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2003)
Material(ID: 11 | Nombre: Libro DAM | Descripción: Libro de texto 1ºDAM 2015 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2003)
Material(ID: 1 | Nombre: Manual | Descripción: Manual de Word 2007 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2001)
Material(ID: 2 | Nombre: Manual | Descripción: Manual de Word 2007 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2001)
Material(ID: 3 | Nombre: Manual | Descripción: Manual de Word 2007 | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2001)
Material(ID: 22 | Nombre: Manual | Descripción: hola | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
Material(ID: 23 | Nombre: Manual | Descripción: hola | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
Material(ID: 26 | Nombre: Manual | Descripción: hi | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
Material(ID: 15 | Nombre: Mascara | Descripción: Proteccion para los ojos | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 301601)
Material(ID: 14 | Nombre: Pistola de silicona | Descripción: Pistola de silicona | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 301604)
Material(ID: 16 | Nombre: Portatil | Descripción: Portatil | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2012)
Material(ID: 12 | Nombre: Teclado USB | Descripción: Teclado con conexión USB | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 300901)
Material(ID: 13 | Nombre: Teclado USB | Descripción: Teclado con conexión USB | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 300901)
Material(ID: 17 | Nombre: Tinta | Descripción: Tinta para la impresora | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2202)
Material(ID: 18 | Nombre: Tornillos | Descripción: Caja de tornillos pequeños | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2201)
Material(ID: 19 | Nombre: Tornillos | Descripción: Caja de tornillos pequeños | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2201)
Material(ID: 20 | Nombre: Tornillos | Descripción: Caja de tornillos pequeños | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 2201)
Material(ID: 28 | Nombre: za | Descripción: z | Cantidad: 0 | Stock mínimo: 0 | Categoría: 0 | Estado: DISPONIBLE | ID Ubicación: 11)
